probe,position,best_layer_r,pearson_r,best_layer_acc,pairwise_acc
tb-1,tb-1,32,0.8632,32,0.8351
tb-1,tb-2,53,0.7570,53,0.7750
tb-1,tb-3,25,0.3413,25,0.6122
tb-1,tb-4,25,0.6050,25,0.7104
tb-1,tb-5,39,0.7600,39,0.7747
tb-1,task_mean,53,0.3464,53,0.6228
tb-2,tb-1,25,0.7693,25,0.7794
tb-2,tb-2,32,0.8721,32,0.8420
tb-2,tb-3,32,0.2496,32,0.5851
tb-2,tb-4,32,0.4768,32,0.6616
tb-2,tb-5,32,0.7042,32,0.7495
tb-2,task_mean,32,0.3582,32,0.6201
tb-3,tb-1,32,0.6712,32,0.7248
tb-3,tb-2,25,0.6733,25,0.7394
tb-3,tb-3,25,0.7620,25,0.7793
tb-3,tb-4,25,0.7231,25,0.7634
tb-3,tb-5,25,0.6767,25,0.7337
tb-3,task_mean,32,0.6709,32,0.7352
tb-4,tb-1,32,0.7316,32,0.7498
tb-4,tb-2,53,0.7201,53,0.7516
tb-4,tb-3,25,0.5979,25,0.7084
tb-4,tb-4,25,0.8254,25,0.8139
tb-4,tb-5,32,0.7790,25,0.7867
tb-4,task_mean,46,0.6344,46,0.7214
tb-5,tb-1,32,0.6884,32,0.7266
tb-5,tb-2,32,0.6919,32,0.7351
tb-5,tb-3,25,0.3639,25,0.6181
tb-5,tb-4,25,0.6941,25,0.7411
tb-5,tb-5,32,0.8677,32,0.8403
tb-5,task_mean,25,0.5436,25,0.6850
